STP,2019 CCG code,2019 CCG name,Status,2019 ward name,2019 ward code,IMD: % of population living in areas rated as among the nation's most deprived,Income: % of population living in areas rated as among the nation's most deprived,Employment: % of population living in areas rated as among the nation's most deprived,Education: % of population living in areas rated as among the nation's most deprived,Health Deprivation & Disability: % of population living in areas rated as among the nation's most deprived,Crime: % of population living in areas rated as among the nation's most deprived,Barriers to Housing & Services: % of population living in areas rated as among the nation's most deprived,Living Environment: % of population living in areas rated as among the nation's most deprived,Cheek by jowl?,Digital Vulnerability decile,Financial Vulnerability decile,No. people living alone,Capacity decile,Proportion of urban LSOAs,RUC,Classification
Greater Manchester Health and Social Care Partnership,01G,NHS Salford CCG,Priority,Kersal,E05000767,0.3994706343673754,0.32991787208086437,0.40230372080864407,0.4407598829441152,0.34459850993377483,0.49302911147902867,0,0.2500025415359591,No,7,2,1474,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01G,NHS Salford CCG,Priority,Langworthy,E05000768,0.9737838297751653,0.8463674425859881,0.7953909257854322,0.7821952749987592,0.9895915610797167,1,0,0.595436658465509,No,3,1,2787,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01G,NHS Salford CCG,Priority,Little Hulton,E05000769,0.8758230683090705,0.8613470087210289,0.9520548712206047,0.7386156639180155,0.9603300078048118,0.607023312633615,0.11947877430520205,0,No,2,1,1763,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01G,NHS Salford CCG,Priority,Pendlebury,E05000771,0.415739579868485,0.34964050866105467,0.3684274492746207,0.33944191421675235,0.6400003411542955,0.5880224991257921,0.21937287311618864,0,No,3,1,1673,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01G,NHS Salford CCG,Priority,Walkden North,E05000774,0.6607191882655327,0.6519103947470255,0.6988016244465355,0.4840875115580919,0.7055307760927743,0.9224756516319822,0,0.0777781172224734,No,3,1,1804,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01G,NHS Salford CCG,Priority,Weaste and Seedley,E05000776,0.48434166812379786,0.4261862372633486,0.3786809121111447,0.277347040963932,0.8461891382791015,0.30092951723918676,0.04001474351841549,0.23004001812141345,No,4,1,1979,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01G,NHS Salford CCG,Priority,Winton,E05000777,0.5774195196729688,0.5473747101135962,0.5970922919696553,0.4853956212413034,0.7936287881765653,0.4290613576510357,0.05958393931056168,0.16064423568255964,No,3,1,1678,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01W,NHS Stockport CCG,Priority,Brinnington and Central,E05000783,0.9423569610641619,0.8899278653486508,0.9215011881828536,0.8639323227920187,0.9632127339454701,0.9051722865137731,0,0.18880682537227386,No,3,1,3214,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01W,NHS Stockport CCG,Priority,Davenport and Cale Green,E05000787,0.47642082117607454,0.4295037383570868,0.44092326197957576,0.4380051691729323,0.6754860565593086,0.49063885226125015,0,0.2226826394344069,No,6,1,1778,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01W,NHS Stockport CCG,Priority,Edgeley and Cheadle Heath,E05000788,0.2988631782223502,0.2422092727796317,0.22801111242864158,0.15629495366998117,0.532246878864364,0.8240567140412989,0,0.5072520454660951,No,6,2,1924,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,Ashton Hurst,E05000800,0.4248183367326217,0.3674136271731165,0.46005262274962694,0.2506290890790136,0.5534226860558542,0.7164143688360307,0.035849248183367315,0,No,3,2,1211,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,Ashton St Michael's,E05000801,0.5615567672473546,0.5023131597850881,0.5092770036672813,0.4742504757383922,0.7046084662530298,0.8868727709608445,0,0.49770154294667945,No,4,1,1502,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,Ashton Waterloo,E05000802,0.5076249152423484,0.4731230564193691,0.49188033388669367,0.46116369332928053,0.7094942598611143,0.6993958240781873,0,0.1576188360728565,No,3,2,1439,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,Denton North East,E05000804,0.3516933572383615,0.21606980065637532,0.2873212187512661,0.27248642680604507,0.3510567339248814,0.6848301831368259,0.053643490944451186,0.3302340363032292,No,5,1,1406,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,Dukinfield,E05000809,0.4610241254270682,0.4082353434362489,0.4431578947368421,0.4872110084051227,0.6277241191389465,0.5776847135760548,0,0.13136431281309602,No,3,1,1740,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,Hyde Godley,E05000811,0.6567317697910829,0.6274530579229631,0.6245493265702478,0.5191012230006699,0.675461416287858,0.5611527718680355,0.029785311353305206,0.1921120037747454,No,4,1,1517,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,Hyde Newton,E05000812,0.5661874426700757,0.46937751439116515,0.6112583331527667,0.43176294482604205,0.7231509970892649,0.5357935544914159,0.0799016633803529,0.15127028666767786,No,4,1,1791,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,St Peter's,E05000816,0.9050576394414424,0.8727241188160629,0.7903240403796623,0.7048313805937786,0.9106822458453219,0.6996690964352918,0.033143904398094885,0.7305971725186002,No,3,1,2213,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,01Y,NHS Tameside and Glossop CCG,Priority,Stalybridge North,E05000817,0.5326775634004549,0.5698103418458523,0.4977774920070417,0.3583953776090745,0.5315911418955173,0.6594840163007569,0,0.1775285906230738,Yes,4,1,1608,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,02A,NHS Trafford CCG,Priority,Clifford,E05000825,0.5642412901668075,0.8154864143670099,0.6395914943571853,0.0653569480927661,0.49105496280446426,0.4305825566050696,0,0.31417822219076913,No,5,1,1429,9,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,02H,NHS Wigan Borough CCG,Priority,Abram,E05000840,0.5185359850701624,0.480475628470732,0.47792403079604123,0.5988791242375768,0.7053457401844121,0.6236117071775064,0,0.008486955899756803,No,3,1,1808,1,0.8888888888888888,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,02H,NHS Wigan Borough CCG,Priority,Douglas,E05000847,0.5210649535993173,0.44861754287879174,0.5189667158321409,0.5634718303901483,0.6903428464234876,0.7326778141103685,0,0.03286926520298229,No,2,1,1886,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,02H,NHS Wigan Borough CCG,Priority,Hindley,E05000849,0.36944880858863577,0.3729373642622799,0.4297908676432081,0.3195552808711858,0.6380175361582181,0.331345208939821,0,0,No,3,1,1766,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,02H,NHS Wigan Borough CCG,Priority,Ince,E05000851,0.8993814060240206,0.8181207948185877,0.9133029145444255,0.9384622791297239,0.9759375196503804,0.826331902785638,0,0,No,2,1,1914,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,02H,NHS Wigan Borough CCG,Priority,Pemberton,E05000857,0.6601595357379614,0.5969556350094728,0.7616208599135667,0.6279741786843736,0.7842760939101833,0.6172344965241929,0,0,No,2,1,1922,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,02H,NHS Wigan Borough CCG,Exemplar,Atherton,E05000845,0.5332998060328579,0.4907252177846622,0.5519412135626213,0.504065770625287,0.5752429729748253,0.6582711907389257,0,0.03431162226441216,No,2,1,2251,1,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Ancoats & Beswick,E05011350,0.648603955216072,0.6012037250183112,0.5181969237208329,0.4108151093439364,0.9502046667364235,0.8264015904572565,0.21993596316835823,0.4469015381395835,No,5,1,2421,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Baguley,E05011352,0.8871611884992795,0.8389989418065854,0.8560084077620113,0.6134462795291942,0.961273913184801,0.6850843484887337,0.10701098281970624,0.005074452755095032,No,5,1,1853,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Brooklands,E05011353,0.5322887157291116,0.5040022429983468,0.5123505525184001,0.2724193515196828,0.7680238978784116,0.7412922619986692,0,0,No,6,2,1958,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Burnage,E05011354,0.6372529431414112,0.6191932467743295,0.5472461999057195,0.2545996047714636,0.7547148017145301,0.9484378170647569,0.1554799716534351,0.24746894521433185,No,5,1,1451,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Charlestown,E05011355,0.8369667301422717,0.7785650192919312,0.8038957737210994,0.6544517668484527,0.924340900555993,0.9772124239372821,0.08594613546558191,0,No,4,1,2110,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Clayton & Openshaw,E05011359,0.9728874232656064,0.9392304314573936,0.9289463506271065,0.6840376467440772,1,0.9533952152052599,0.16258502214428827,0.348350156013272,No,3,1,2083,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Crumpsall,E05011360,0.7823754927448515,0.7691332394622378,0.686538383138326,0.15354980133405666,0.7403870457888151,0.8208516136315884,0.23989908334561597,0.49381971732047153,No,6,1,1888,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Gorton & Abbey Hey,E05011365,0.977156169698707,0.8947520705576429,0.8260000870197278,0.5384102519477062,0.9161032565853459,1,0.15095337790108415,0.672916645338302,No,4,1,2423,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Harpurhey,E05011366,0.9432031204028279,0.8768853134273152,0.8517245437503678,0.6807087596006467,0.9774242946449337,1,0.11450625845879668,0.3211117555908618,No,3,1,2736,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Levenshulme,E05011369,0.7457251212389497,0.6084049314851275,0.33419070523408695,0.15668684012315495,0.7725968259841167,0.8916476604516562,0.12551290352418829,0.7563564887614467,No,7,1,2025,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Longsight,E05011370,0.9629637422165879,0.975207468879668,0.6973139571426288,0.584066043816149,0.896544937386478,0.8945353655873313,0.339631882560363,0.4172128593419588,No,5,1,1486,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Miles Platting & Newton Heath,E05011371,0.9621131051123509,0.9204584527220631,0.9545775901070728,0.9224127582566732,1,0.9792862313376565,0.26172869853717384,0.1398013874227115,No,3,1,2573,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Moss Side,E05011372,0.7673700634269313,0.6977219225685691,0.5767067006264485,0.24439050968349096,0.8219464221006227,0.8341866727842936,0.2151754081821523,0.6059715947454449,No,6,1,1912,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Northenden,E05011374,0.6364171465625048,0.5888184913001189,0.6377970079202112,0.43585516666409346,0.8452279955535656,0.7795118571582961,0.3224322999490512,0.09443153571814542,No,7,1,1572,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Old Moat,E05011375,0.46476053957311414,0.4048047858942065,0.31876574307304784,0.10074688452870209,0.794337630916081,0.9946756926952142,0.3136532215298952,0.24494150205488527,No,9,1,1476,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Rusholme,E05011377,0.4834420079911943,0.3845371320594894,0.27431740912169,0.10789904194097125,0.846462139564324,0.800432138842929,0.20480437398044782,0.6786707949074171,No,9,1,1328,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Sharston,E05011378,0.6791718687006619,0.6698789226587596,0.6698789226587596,0.6698789226587596,0.9478944767404055,0.7786191525886621,0.0962108059251167,0,No,4,1,1762,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Whalley Range,E05011379,0.4551762503700732,0.5284367469208313,0.39466457833933405,0.054582063942290836,0.6840440331458295,0.5099566417404424,0.1749900517943379,0.5013317861883888,No,9,1,2091,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Priority,Woodhouse Park,E05011381,0.9406738647410082,0.8779449034856269,0.88106634495209,0.8374411540063879,1,0.6966721635883905,0.20428256492153862,0.02239931953895292,No,3,1,1847,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Exemplar,Piccadilly,E05011376,0.09713737533819572,0,0,0,0.44843149401535776,0.9663357309844233,0.7260068164505423,1,No,9,6,2670,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,14L,NHS Manchester CCG,Exemplar,Hulme,E05011368,0.26346948170857165,0.18988120344841775,0.18751324533969793,0.10154263199045306,0.7595388307065553,0.6009325747911609,0.0470444889099214,0.36969337681576886,No,7,2,3332,8,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,00T,NHS Bolton CCG,Exemplar,Rumworth,E05000665,0.8551751199830967,0.8899908440571894,0.7057331964972648,0.7004968692041708,0.4335203090885309,0.7524036865246657,0,0.5990491905542867,No,2,1,1801,4,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,00T,NHS Bolton CCG,Exemplar,Harper Green,E05000658,0.6168545679040838,0.6028887170788184,0.6471318616646856,0.3989370213518888,0.5965521950018655,0.6668776468687615,0,0.1698192532416329,No,2,1,1449,4,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,00T,NHS Bolton CCG,Exemplar,Crompton,E05000654,0.7442572481580813,0.7091853514479363,0.6526207291726708,0.5953978307231714,0.6887169124253654,0.7740736157213235,0,0.5757236291140142,No,2,1,2178,4,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,00T,NHS Bolton CCG,Exemplar,Breightmet,E05000652,0.650806707271832,0.5520690422711911,0.6657431015061683,0.5063980115610056,0.6536035397991325,0.8328790546146219,0,0.10073048827374087,No,2,1,1955,4,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,00T,NHS Bolton CCG,Exemplar,Farnworth,E05000655,0.9219282650624956,0.8806409842349753,0.8530197432561734,0.6799841836626894,0.9084689845851079,1,0,0.38741076899394206,No,2,1,2167,4,1,Urban,Urban conurbation
Greater Manchester Health and Social Care Partnership,00T,NHS Bolton CCG,Exemplar,Tonge with the Haulgh,E05000667,0.7160155526130478,0.6695359485712552,0.728505823806684,0.4089429209667148,0.7455207059322976,0.8082805198130721,0,0.3919083285321042,No,2,1,2116,4,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Acocks Green,E05011118,0.6727235740855548,0.5481579559173817,0.5141071108101934,0.35071040803341275,0.6825217394851045,0.36741952719678916,0.5093653130812151,0.8698336093255458,No,2,2,2689,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Allens Cross,E05011119,0.6475006750464266,0.6648518479740342,0.6390595638924554,0.4704916542219332,0.5156732003813324,0.6079732626509211,0.24458419895409125,0.6794199009197163,No,1,2,1103,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Alum Rock,E05011120,0.9934516191584255,1,0.942860190032965,1,0.5073766877927803,0.09508302460630923,0.900727881367176,0.8042111386669115,No,2,1,969,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Balsall Heath West,E05011122,1,1,0.9931599543453449,0.5886695787242441,0.8442410342667364,0.2065042865601963,0.9613400756906124,0.46100045483021096,No,1,1,1176,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Bartley Green,E05011123,0.714660914950338,0.7053250244654166,0.7130985028289896,0.4913624143710419,0.6908286745930866,0.4889697528711713,0.5052542716054937,0.07948954454955508,No,1,2,3126,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Billesley,E05011124,0.6741685822972769,0.6527763674540951,0.6604257930200459,0.3847128850289959,0.6040519095499183,0.3553359986324821,0.47762615735130154,0.7313081226990108,No,2,2,2296,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Bordesley & Highgate,E05011126,0.8191831576391041,0.8204312843306736,0.7061327884096131,0.5215931349836554,0.6692705520707847,0.6302600423711212,0.976882814771736,0.7475590271897338,No,1,1,2213,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Bordesley Green,E05011127,1,1,0.9215665412673494,1,0.6801927964315396,0.28224883667709205,0.8507692585648268,0.8988471158826198,No,2,1,999,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Brandwood & King's Heath,E05011130,0.26563854920511326,0.22702841433302579,0.23464676738964646,0.0521869383662825,0.25142658297379883,0.19990893867559767,0.2248553418199465,0.7224369503655785,No,4,4,2281,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Bromford & Hodge Hill,E05011131,0.5721875819017893,0.5395017988611184,0.48663684448786065,0.4452358771532725,0.42883514807843504,0.39476066808034116,0.5273372090252794,0.6524341807438468,No,2,1,1856,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Castle Vale,E05011132,0.934203778677463,0.8810958164642374,0.934203778677463,0.9818151147098516,0.9699122807017544,0.14172469635627527,0.6577052631578947,0.008066666666666656,No,1,1,1414,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Chelmsley Wood,E05001287,0.8805263902804212,0.8955404132012857,0.9148963272238341,0.9070988010682002,0.7037100216396203,0.7127001478645307,0.19719969905657211,0,No,1,1,2134,8,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Druids Heath & Monyhull,E05011133,0.5913502308489588,0.5913502308489588,0.5913502308489588,0.568768441881109,0.576836253452816,0.4917643208180632,0.5686271057838698,0.35736336270809876,No,1,2,1767,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Erdington,E05011135,0.545492399762509,0.4298433452604257,0.48155188810600924,0.10982579614655086,0.5500911608160863,0.4153194831943591,0.46762411794685876,0.8756764815602949,No,2,3,3091,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Frankley Great Park,E05011136,0.8270151479475708,0.8188132799623263,0.7962004139144659,0.6470910322663261,0.8270151479475708,0.7140656562527109,0.6909928163946479,0,No,2,1,1378,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Garretts Green,E05011137,0.9190094929571689,0.8970321694380088,0.8853625469009493,0.7996168474360813,0.6713778627519323,0.4759054702396817,0.6901333729727512,0.9176555163717631,No,2,1,1165,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Glebe Farm & Tile Cross,E05011138,0.9358148104590537,0.8697855865112623,0.8921738663959676,0.9232564977066917,0.6904749819980976,0.4413413428903318,0.6219585038098008,0.7707117818066276,No,1,1,2535,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Gravelly Hill,E05011139,0.9818047783298761,0.9198426721018862,0.9729530488687347,0.6604111389840319,0.8645273529837425,0.5761234261179989,0.8187671860678276,1,No,2,1,1484,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Hall Green North,E05011140,0.4157789847547044,0.40931032692227803,0.30862646948863864,0.26554345116935985,0.156895484567773,0.07247569891579778,0.46957587338512025,0.8125611681136543,No,3,3,1485,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Heartlands,E05011145,1,0.9616380084841761,1,0.9490779512980164,0.8911019663601634,0.18387225299407042,0.833821863550073,0.8759796645391125,No,2,1,727,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Highter's Heath,E05011146,0.4754396953068738,0.40853145824669596,0.3687763081822884,0.4395353024109705,0.4858158959742775,0.2519350143522228,0.07130214725482041,0.7930792364414601,No,2,2,1146,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,King's Norton North,E05011148,0.42290193048764124,0.3281525978081355,0.4011789714243418,0.30164320443369125,0.5277043249769849,0.23870412605302477,0.29749795293366577,0.3631148716477843,No,3,3,1299,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,King's Norton South,E05011149,0.7296431224641408,0.7080696447960292,0.7434802396871657,0.7027299519156197,0.7201019650102455,0.7881372813140343,0.5911686790265566,0.2800806984888932,No,1,1,1620,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Kingshurst and Fordbridge,E05001290,0.6423677464460499,0.6454958767228022,0.6664180843626194,0.8164305543630691,0.54679766299926,0.6732275223131237,0.07435145776349518,0,No,1,1,1816,8,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Kingstanding,E05011150,0.7489381578947367,0.6990454545454545,0.6990454545454545,0.7163311004784689,0.7602916267942584,0.41317380382775115,0.4233117224880382,0.992993899521531,No,1,1,2177,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Longbridge & West Heath,E05011152,0.5436983115776775,0.5367698803659395,0.4996694322011926,0.40581450106617706,0.42935121935733067,0.4012313948135645,0.35033810776060487,0.3847030048731963,No,2,2,2951,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Moseley,E05011154,0.4372615719412386,0.39885480190224304,0.4283882297019353,0.1284801429160368,0.40885025129703506,0.43285345474287956,0.591101314043573,0.8544539611666669,No,5,4,3619,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Oscott,E05011159,0.2541027547781305,0.23414948167550886,0.23011373726386825,0.2444868365557504,0.2686856256520677,0,0.09619775133743255,0.9870737974205864,No,2,2,2240,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Perry Common,E05011161,0.8701169686065535,0.8391086940652603,0.8582990171030087,0.49434995255128106,0.8704087460226809,0.15269105087103824,0.19079859843784214,0.6172612427699746,No,1,1,1443,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Pype Hayes,E05011162,0.5562442528451506,0.5415523003450765,0.559078527146346,0.33533845180299987,0.7297739699615372,0.06591751782235974,0.3863351196891345,0.45084019696055844,No,1,2,1260,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Quinton,E05011163,0.35995297664059134,0.38830248769572634,0.36239886235472957,0.16216413268742885,0.325956791158989,0.1430972186018422,0.2583478076842673,0.6706649856632951,No,2,3,2273,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Rubery & Rednal,E05011164,0.49184076276657124,0.5080621204590766,0.4482616097390986,0.36476032151365056,0.6604431952561312,0.2451398767188241,0.29721360548881154,0.3191194364941986,No,3,2,1337,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Shard End,E05011165,1,0.9912717737404008,0.9471503139756113,0.9470800761033507,0.9830492601610789,0.8284993247306316,0.3522564840646286,0.4850972486469967,No,1,1,1824,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Sheldon,E05011166,0.3936562439119423,0.3214272714222728,0.33631930132168525,0.47158517641268566,0.3336791350087668,0.17491053759471736,0.19773601156602785,0.9272982097265372,No,2,3,2209,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Small Heath,E05011167,0.9923130160851511,1,0.8376574161765925,0.9857273487762173,0.44188884339147233,0.004477113264283321,0.8503490600875726,0.900994676802263,No,3,1,677,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Smith's Wood,E05001300,0.8616569044709452,0.8990478698748473,0.9216663857401711,0.9201266276178838,0.5507835742278032,0.4073245965193207,0.2752412456280814,0,No,1,1,1636,8,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,South Yardley,E05011169,0.37588046524853425,0.24731933706145992,0.2974977319810976,0.15877723315234316,0.3568307990196741,0.2068433239001801,0.6739069502931498,0.9297530228968356,No,3,3,1159,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Sparkbrook & Balsall Heath East,E05011170,0.9943140794223827,0.9889274178225347,0.9397425220628959,0.9424150330892905,0.7226571690767744,0.26640901354700214,0.9303461337882689,0.8551337923116417,No,2,1,1356,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Sparkhill,E05011171,0.816067325234983,0.9468134396434262,0.664844634073116,0.6311366943026719,0.28116469596545113,0.04229766633565044,0.7358678206046049,0.8871811563243343,No,3,1,839,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Stirchley,E05011172,0.43302856057466493,0.3998526499976976,0.30934291108348294,0,0.5369966500897914,0.1700326932817608,0.11709432702491135,0.9919783464566929,No,4,3,1268,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Stockland Green,E05011173,0.8385764209086054,0.6805127533211045,0.7377788757553875,0.3794359573442366,0.628169726890294,0.45732503315603434,0.5956808139081312,0.8704312184817637,No,2,1,3044,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Tyseley & Hay Mills,E05011182,0.9550470060370694,0.9068621222836183,0.7829571651743797,0.717451565602688,0.5621524489885611,0.14353821812559178,0.8990844510501944,1,No,2,1,1279,5,1,Urban,Urban conurbation
Birmingham and Solihull,15E,NHS Birmingham and Solihull CCG,Priority,Ward End,E05011183,0.9576982985630511,0.9571188152786185,0.7847936723355529,0.9564067024201042,0.5140390717472019,0.21420736479687238,0.6620419171142272,0.9568192420836723,No,2,1,859,5,1,Urban,Urban conurbation
